연번,상호명,업종,연락처,자치구,소재지,판매메뉴
37,스무디킹 (이마트24가산SKV1),카페,02-6916-1500,금천구,서울 금천구 가산디지털1로 171,"비건 애플 크럼블 케익(비건), 비건 초콜릿 칩 머핀(비건), 비건 당근호두머핀(비건), 비건 블루베리 크럼블케익(비건), 애플 키위 케일주스(비건), 베리 캐롯 주스(비건)"
38,강남교자 (뚝섬),한식,02-6077-7040,성동구,서울 성동구 상원1길 26  서울숲A타워 1층,"비빔국수(일반식,비건가능), 콩국수(비건)"
39,스윗밸런스 (가산더블유센터),양식,0507-1316-6329,금천구,서울 금천구 가산디지털1로 181 가산W센터 1층 118호,"초록이(비건), 버섯둥이(오보), 구운 야채(비건), 두유 리조또(락토)"
40,강남더수제비,한식,02-561-5831,강남구,서울 강남구 강남대로94길 23,"일반수제비(페스코,비건가능), 얼큰수제비(페스코,비건가능), 들깨수제비(페스코,비건가능), 찹쌀새알수제비(페스코,비건가능), 콩국수(비건), 감자전(비건)"
41,강릉형제장칼국수,한식,02-871-8852,관악구,서울 관악구 대학5길 10-7,장칼국수(오보)
42,개성집,한식,02-547-8526,강남구,서울 강남구 봉은사로1길 6,"돌솥비빔밥(일반식,비건가능), 누룽지(비건,오보가능), 김치순두부(페스코,오보가능), 된장찌개(일반식,비건가능), 청국장(일반식,비건가능), 김치볶음밥(일반식,페스코가능)"
43,갯마을칼국수,한식,02-719-6996,용산구,서울 용산구 청파로45길 33,"냉콩국수(비건), 새싹비빔밥(페스코), 해물칼국수(페스코)"
44,거북이집,한식,02-322-8018,서대문구,서울 서대문구 연희맛로 12-1,"영양돌솥밥(비건), 돌솥곤드레밥(비건), 된장찌개정식(페스코), 청국장정식(페스코)"
45,건강한빵,베이커리,02-6494-0049,종로구,서울 종로구 성균관로1길 6-6,"통밀빵(비건), 호밀빵(비건), 바질치아바타(비건)"
46,건강한식당,한식,02-714-7676,용산구,서울 용산구 만리재로 196,"견과류 야채비빔밥(비건), 연두부 야채비빔밥(비건), 버섯 야채비빔밥(비건), 낙지 야채비빔밥(페스코), 면곤약 야채비빔밥(비건), 들깨버섯탕(비건), 카레라이스(비건)"
47,걸신맛집,한식,02-566-9285,강남구,서울 강남구 테헤란로6길 29,"감자채전(오보), 부추전(오보), 고추장더덕구이(비건), 들기름부침두부(비건), 강된장보리밥(페스코,비건가능), 새싹비빔밥(페스코,비건가능)"
48,경복궁 우동냉면,한식,0507-1364-6655,은평구,"서울특별시 은평구 진관3로 33(은평뉴타운 꿈에그린 제지1층 109호,110호 진관동)",비빔국수(비건)
49,고모네원조콩탕북어찜,한식,02-485-4675,강동구,서울 강동구 풍성로57길 13,"콩비지(페스코), 청국장(페스코), 콩국수(비건), 온콩국수(비건), 녹두전(비건), 콩탕(비건), 모두부(비건)"
50,고향보리밥쌈밥,한식,070-8820-3330,노원구,서울 노원구 중계로2길 88 2층,"보리밥정식(페스코,비건가능)"
51,고향칼국수,한식,02-373-1158,은평구,서울 은평구 진흥로1길 29,"팥칼국수(비건), 팥옹심이(비건), 녹두칼국수(비건), 녹두옹심이(비건), 들깨칼국수(비건), 콩국수(비건)"
52,골목주방,한식,010-9209-6471,강서구,서울 강서구 등촌로13길 12,"과카몰리&나쵸(비건), 바지락술찜(페스코), 차돌 숙주볶음(일반식,비건가능), 감자튀김(비건), 꿀토마토(일반식)"
53,공간녹음,양식,02-6953-6998,강서구,서울 강서구 공항대로 227 403호,"녹음카레(비건,비건가능), 베지 랩(비건,비건가능), 세이탄 플래터(비건), 후무스 레인보울(비건), 베지볼 토마토 스파게티(비건), 크림 버섯 파스타(비건), 페스토 파스타(비건), 불고기버거(비건), 버섯버거(비건), 베지버거(비건), 아메리카노(비건), 더블 초콜릿 쿠키(비건), 라이스 푸딩(비건), 그린스무디(비건)"
54,과수당,양식,0507-1444-0047,강남구,서울 강남구 역삼로14길 10 1층 102호,"비건 5색콩 샐러드(비건), 고구마 견과류 샐러드(비건)"
55,구내식당,한식,070-5121-2710,마포구,서울 마포구 월드컵로19길 74 어쩌다가게 101호,"비빔밥(일반식,비건가능),야채전(비건),삼색묵무침(비건)"
56,구포국수,한식,02-2214-9747,동대문구,서울 동대문구 답십리로 70,비빔국수(비건)
57,국수나무 (남성역),한식,02-534-8333,동작구,서울 동작구 사당로 215 서림빌딩,"새콤달콤비빔면(오보,비건가능)"
58,국수천천히,한식,010-9005-0881,동대문구,서울 동대문구 서울시립대로28길 6,"비빔국수(일반식,비건가능)"
59,굿피자파스타,양식,0507-1406-1241,노원구,서울 노원구 동일로180길 37-7 1층 101호 굿피자파스타,"알리오올리오(비건), 마르게리따 피자(일반식,락토가능), 버섯크림스파게티(락토)"
60,권가김밥,분식,02-701-0117,마포구,서울 마포구 숭문길 63,"유부김밥(페스코,비건가능), 멸치김밥(페스코,비건가능)"
61,권순옥김밥,한식,02-935-5260,노원구,서울 노원구 동일로 1354,"야채듬뿍김밥(일반식,비건가능), 쫄면(오보,비건가능)"
62,귀빈반점,중식,0504-3142-1101,노원구,서울 노원구 화랑로51길 81 공릉아파트,야채짜장(비건)
63,그랑블루,양식,070-7798-0872,중구,서울 중구 수표로 66,"구운야채 아몬드오일 파스타(비건), 버섯샐러드(락토오보,비건가능)"
64,그러팡야,베이커리,,마포구,서울특별시 마포구 포은로 48,비건 베이커리(비건)
65,그레이스톤,카페,0507-1402-7878,성동구,서울 성동구 성수이로7길 27 서울숲코오롱디지탈타워,"비건오틀리라떼(비건),비건코코넛라떼(비건),후무스와당근라페오픈샌드위치(비건),비건채식두부캐슈넛크림샌드위치(비건),후무스오픈샌드위치(오보)"
66,그리너 샐러드,양식,070-7799-3430,마포구,서울 마포구 양화로23길 22-6 1층 그리너,"그릴드 머쉬샐러드(비건), 스윗단호박 두부 샐러드(비건)"
67,그리너 샐러드 (강서구),양식,0507-1360-0217,강서구,서울 강서구 마곡중앙4로 18 마곡그랑트윈타워 B동 217호,"그릴드 머쉬샐러드(비건), 스윗단호박 두부 샐러드(비건)"
68,그리너 샐러드 (구디단점),양식,0507-1305-3430,동작구,서울 동작구 신대방11길 35 1호,"그릴드 머쉬샐러드(비건), 스윗단호박 두부 샐러드(비건)"
69,그리너 샐러드 (논현점),양식,070-8880-3430,강남구,서울 강남구 강남대로124길 35,"그릴드 머쉬샐러드(비건), 스윗단호박 두부 샐러드(비건)"
70,그리너 샐러드 (대치점),양식,070-8844-3430,강남구,서울 강남구 역삼로64길 18,"그릴드 머쉬샐러드(비건), 스윗단호박 두부 샐러드(비건)"
71,그리너리 샐러드,양식,02-782-9242,영등포구,서울 영등포구 은행로 29,"그리너리(락토), 살몬타나(페스코), 자마이카(페스코)"
72,그리너샐러드 잠실점,양식,02-425-3430,송파구,서울 송파구 가락로15길 7-1,"그릴드 머쉬샐러드(비건), 스윗단호박 두부 샐러드(비건)"
73,그린바이브,양식,02-3152-0629,마포구,서울 마포구 월드컵로34길 14 벽산상암스마트큐브 1층,"그린샐러드(오보,비건가능), 연두부샐러드(오보,비건가능), 버섯샐러드(오보,비건가능), 클렌즈주스(비건)"
74,그린벨리,베이커리,010-9715-0814,성북구,서울 성북구 성북로8나길 8 지하 1층,"소이라떼(비건), 루이보스 소이티(비건), 레몬파운드(비건), 그 외 다양한 비건빵(비건)"
75,그릴도하,양식,02-790-5575,용산구,서울 용산구 이태원로 268 2층,"베이직후무스(비건),단호박후무스(비건),비트후무스(비건),비트후무스(비건),아보카도후무스(비건)"
76,기웃기웃,카페,010-5472-9773,마포구,서울 마포구 신촌로12다길 20,"카페라떼(락토,비건가능), 라벤더라떼(락토,비건가능), 플랫화이트(락토,비건가능), 쇼콜라(락토), 피스타&바나나쉐이크(비건), 비건 피넛버터쿠키(비건), 비건 두부크림빵(비건)"
77,김밥은,분식,02-999-4225,강북구,서울 강북구 한천로 1016,"떡볶이는(페스코,비건가능), 김밥은(오보,비건가능), 쫄면은(오보,비건가능)"
78,김씨네돌솥밥순두부,한식,02-494-3100,동대문구,서울 동대문구 망우로21길 4,"버섯순두부(페스코,비건가능), 청국장순두부(페스코,비건가능), 파전(페스코,비건가능)"
79,까르보네 (중계은행사거리점),양식,02-938-1066,노원구,서울특별시 노원구 한글비석로 273,"토마토 스파게티(비건),알리오올리오(비건),그린샐러드(오보,비건가능)"
80,까볼로 (연신내),양식,02-382-2015,은평구,서울 은평구 연서로27길 16-14,알리오올리오(페스코)
81,깔리,인도/중동,02-581-2855,서초구,서울 서초구 방배천로 21,"머쉬룸 커리(락토오보,비건가능), 머쉬룸 마살라(락토오보,비건가능), 야채 비리야니(락토,비건가능), 플레인 난(락토,비건가능)"
82,꼬망김밥 (서울역 내부),분식,,용산구,서울특별시 용산구 한강대로 405,"야채꼬마김밥(비건), 매운어묵꼬마김밥(페스코), 참치꼬마김밥(페스코)"
83,꽃갈피,카페,010-3217-9817,동대문구,서울 동대문구 망우로18가길 36,"카페라떼(락토,비건가능), 비건스콘(비건)"
84,꽃제비칼국수,한식,02-911-8371,노원구,서울 노원구 광운로12길 13,"바지락칼국수(페스코), 어묵칼국수(페스코), 들깨칼국수(페스코), 바지락수제비(페스코), 서리태냉콩국수(비건)"
85,꿀밤,술집,0507-1318-1276,용산구,서울 용산구 우사단로14길 3 2층,탕수두부(비건)
86,나마스테,인도/중동,02-2272-1812,중구,서울 중구 퇴계로 182,"믹스베지터블(비건), 사모사(비건)"
87,나무선인장,일식,070-4084-7775,은평구,서울 은평구 통일로83길 23,야채카레(비건)
88,나빈,인도/중동,02-931-1557,노원구,서울 노원구 노해로 494,"옐로우 달 프라이(비건), 달 마카니(락토), 믹스 베지 커리(락토), 팔락 파니르(락토), 베지 비리야니(비건)"
89,나위,한식,0507-1359-1620,송파구,서울 송파구 삼전로 90 금화빌딩 1층,"디톡스 울금해초비빔밥(비건), 송이가득솥밥(비건), 당귀곤드레나물밥(비건)"
90,날일달월,한식,02-457-0102,광진구,서울 광진구 구의강변로 57,"유기농 과일즙(비건), 콩물(비건), 계절과일(비건), 생과일 계절음료(비건), 생채식 진지(일반식,비건가능), 오행현미죽 진지(일반식,비건가능), 녹즙 아침 진지(일반식,비건가능)"
91,남경막국수 (잠실),한식,02-417-0060,송파구,서울 송파구 백제고분로7길 52-29,"비빔막국수(오보,비건가능), 들깨막국수(오보,비건가능), 쟁반막국수(오보,비건가능), 도토리묵(비건), 감자전(비건)"
92,남미플랜트랩,양식,02-522-1276,서초구,서울 서초구 방배천로4안길 55,"매운비건라면(비건), 비건라면(비건), 스쿼시(비건), 화이나(비건), 후무스 플래터(비건), 알리오 올리오 스파게티(비건), 베이컨 플로랑틴 스파게티(비건), 남미 토마토 페투치네(비건), 로제 크림 페투치네(비건), 치즈 야채 피자(비건), 후무스 피자(비건), 마게리타 피자(비건), 크림 베이컨 피자(비건), 스테이크 하와이안 피자(비건), 오렌지 카르파초 샐러드(비건), 검은깨 두부 샐러드(비건), 병아리콩 토마토 카레 앤 라이스(비건), 칼초네 버거(비건), 감자 웨지(비건), 디저트 플래터(비건)"
93,낭만모로코,술집,010-8716-8717,관악구,서울 관악구 관악로14길 88,"갈릭 고르곤졸라 스피니치 피자(락토오보), 카프레제 샐러드(락토), 카사블랑카 샥슈카(일반식,락토오보가능)"
94,내여자를부탁해 (메세나폴리스),양식,02-332-2043,마포구,서울 마포구 양화로 45 2F,버섯 샐러드(비건)
95,내여자를부탁해 (선릉),양식,02-2183-2040,강남구,서울 강남구 테헤란로 322,버섯 샐러드(비건)
96,노이에아트멍,카페,070-8834-5444,강남구,서울 강남구 도산대로23길 19,빈센트(비건)
97,녹기전에,카페,070-8829-8020,마포구,서울 마포구 백범로 127-24,"싱글(비건), 더블(비건), 포장 (비건), 포장 (비건), 포장 (비건)"
98,뉘조,한식,02-730-9301,종로구,서울 종로구 인사동14길 27,"우슬초(일반식,비건가능), 익모초(일반식,비건가능), 구절초(일반식,비건가능), 싱아(일반식,비건가능), 근채(일반식,비건가능), 앵초(일반식,비건가능)"
99,뉴델리,인도/중동,02-957-7955,동대문구,서울 동대문구 경희대로6길 5,"팔락 파니르(락토), 파니르 버터 마살라(락토), 샤히 파니르(락토), 베지터블 코르마(락토), 믹스 베지터블 커리(비건), 알루 고비(비건), 달 마크니(락토), 달 후라이드(비건), 플레인 난(락토), 알루 프라타(비건)"
100,능동샐러드,양식,070-8836-4453,광진구,서울 광진구 능동로13길 10-7,"리코타 샐러드(락토), 쉬림프 샐러드(페스코), 팟타이 샐러드(페스코), 퀴노아 샐러드(비건)"
101,니니네,베이커리,010-3214-1827,마포구,서울 마포구 광성로6길 30 1층,"단호박 인절미케이크(비건), 아보카도 크럼블 브라우니(비건), 크랜베리 스콘(비건), 얼그레이 마들렌(비건), 코코넛 무화과 비스코티(비건), 흑임잼 마들렌(비건), 흑미 스콘(비건), 초코칩쿠키(비건), 쑥 찹쌀파이(비건)"
102,니르바나,인도/중동,02-720-1910,종로구,서울 종로구 인사동길 58 2층,"달타르카(비건), 차나 마살라 (비건), 믹스 베지터블(비건), 너브라탄코로나(비건), 파파본(비건), 사모사(비건), 야채 파코라(비건), 야채 브리야니(비건), 로티(비건)"
103,닐리 (중계점),양식,02-939-0000,노원구,서울 노원구 중계로 205 동진빌딩,"알리오올리오(비건),풍기크림파스타(락토),토마토후레쉬뽀모도로(락토),봉골레파스타(페스코),풍기피자(락토),루꼴라피자(락토)"
104,다래목해물손칼국수전문점,한식,02-2661-7845,강서구,서울 강서구 강서로47가길 27,"보리비빔밥(오보,비건가능)"
105,다온메밀막국수,한식,02-2695-9595,양천구,서울 양천구 오목로50길 8,비빔막국수(비건)
106,다이너재키,양식,02-6953-5055,마포구,서울 마포구 포은로 82,"구운 연어 아스파라거스(페스코), 구운 연어 아보카도(페스코), 채식 한그릇(비건), 생연어 샐러드(페스코), 스파이시 그릴새우 샐러드(페스코), 썸머블라스트 샐러드(비건), 두부 리코타와 따뜻한 야채 샐러드(비건), 생연어 아보카도롤(페스코), 아스카도롤(비건), 새우튀김롤(페스코), 할로피뇨 크림롤(페스코), 가지가지롤(비건), 오븐 연어롤(페스코), 홍합 구이(페스코), 브리치즈 튀김(락토), 까망베르 치즈구이(락토), 왕새우 튀김(페스코), 허니갈릭 연어철판구이(페스코), 스파이시 그릴 올리브 새우(페스코), 데리야끼 튀김두부볶음(비건), 두부범벅롤(비건), 튀긴 두부 샐러드 볼(비건), 다양한 스무디/디톡스주스(비건)"
107,다포케,양식,070-8836-7872,성동구,서울 성동구 연무장길 41,오렌지 두부 포케(비건)
108,닥터로빈 (강서),양식,02-2693-3110,강서구,서울 강서구 공항대로 396 (주)귀뚜라미보일러사옥빌딩,"머쉬룸 샐러드(비건), 리코타치즈&구운가지피자(락토), 시금치 에그 피자(오보), 마르게리따 피자(락토), 매콤버섯 새우 크림파스타(페스코), 할라피뇨 버섯 크림 파스타(비건), 알리오올리오(비건), 버섯 크림 리조또(비건), 단호박 콩크림 스프(비건)"
109,닥터로빈 (고척),양식,02-2066-8211,구로구,서울 구로구 경인로46길 51 귀뚜라미 에너지 크린테니스장 3층,"머쉬룸 샐러드(비건), 리코타치즈&구운가지피자(락토), 시금치 에그 피자(오보), 마르게리따 피자(락토), 매콤버섯 새우 크림파스타(페스코), 할라피뇨 버섯 크림 파스타(비건), 알리오올리오(비건), 버섯 크림 리조또(비건), 단호박 콩크림 스프(비건)"
110,닥터로빈 (광화문),양식,02-2251-8510,종로구,서울 종로구 종로3길 17,"머쉬룸 샐러드(비건), 리코타치즈&구운가지피자(락토), 시금치 에그 피자(오보), 마르게리따 피자(락토), 매콤버섯 새우 크림파스타(페스코), 할라피뇨 버섯 크림 파스타(비건), 알리오올리오(비건), 버섯 크림 리조또(비건), 단호박 콩크림 스프(비건)"
111,닥터로빈 (메리어트파크센터),양식,02-3775-3101,영등포구,서울 영등포구 여의대로 8 1층 105호,"머쉬룸 샐러드(비건), 리코타치즈&구운가지피자(락토), 시금치 에그 피자(오보), 마르게리따 피자(락토), 매콤버섯 새우 크림파스타(페스코), 할라피뇨 버섯 크림 파스타(비건), 알리오올리오(비건), 버섯 크림 리조또(비건), 단호박 콩크림 스프(비건)"
112,닥터로빈 (목동),양식,0507-1401-3101,양천구,서울 양천구 오목로 299 목동트라팰리스,"머쉬룸 샐러드(비건), 리코타치즈&구운가지피자(락토), 시금치 에그 피자(오보), 마르게리따 피자(락토), 매콤버섯 새우 크림파스타(페스코), 할라피뇨 버섯 크림 파스타(비건), 알리오올리오(비건), 버섯 크림 리조또(비건), 단호박 콩크림 스프(비건)"
113,닥터로빈 (반포),양식,02-537-3621,서초구,서울 서초구 고무래로 8 닥터로빈 빌딩,"머쉬룸 샐러드(비건), 리코타치즈&구운가지피자(락토), 시금치 에그 피자(오보), 마르게리따 피자(락토), 매콤버섯 새우 크림파스타(페스코), 할라피뇨 버섯 크림 파스타(비건), 알리오올리오(비건), 버섯 크림 리조또(비건), 단호박 콩크림 스프(비건)"
114,닥터로빈 (신세계타임스퀘어),양식,02-2639-4064,영등포구,서울 영등포구 영중로 9 신세계타임스퀘어점 A관 9층 닥터로빈,"머쉬룸 샐러드(비건), 리코타치즈&구운가지피자(락토), 시금치 에그 피자(오보), 마르게리따 피자(락토), 매콤버섯 새우 크림파스타(페스코), 할라피뇨 버섯 크림 파스타(비건), 알리오올리오(비건), 버섯 크림 리조또(비건), 단호박 콩크림 스프(비건)"
